dm_id,kod_loc,nama_loc
8,981608017,JALAN 10
8,981608018,JALAN 12
8,981608020,JALAN 14
8,981608021,JALAN 16
8,981608022,JALAN 18
8,981608801,PEMILIH TIDAK HADIR
9,981609001,KG BAHRU BATU CAVES
9,981609002,TMN AMANIAH / KG. DATOK KARIM
9,981609003,TMN BATU CAVES
9,981609004,APT DESA PUTRA
9,981609005,PANGSAPURI ANGGERIK
9,981609006,JLN 7 KG BAHRU SELATAN
9,981609007,KG BAHRU BT CAVES
9,981609008,JLN 1 KG BAHRU BT CAVES
9,981609019,JLN BUNGA RAYA
9,981609020,JLN BUNGA RAYA UTAMA
9,981609021,JLN BUNGA RAYA 1
9,981609022,LRG BUNGA RAYA 1
9,981609023,JLN BUNGA RAYA 2
9,981609024,LRG BUNGA RAYA 2
9,981609025,JLN BUNGA RAYA 3
9,981609026,LRG BUNGA RAYA 3
9,981609027,JLN BUNGA RAYA 4
9,981609029,LRG BUNGA RAYA
9,981609030,TMN AMANIAH
9,981609033,JLN 2 TMN AMANIAH
9,981609034,JLN 3 TMN AMANIAH
9,981609035,JLN 4 TMN AMANIAH
9,981609036,JLN 5 TMN AMANIAH
9,981609040,JLN 1 TMN BT CAVES
9,981609041,JLN 3 TMN BT CAVES
9,981609042,JLN 4 TMN BT CAVES
9,981609044,JLN 6 TMN BT CAVES
9,981609045,JLN 7 TMN BT CAVES
9,981609046,JLN 8 TMN BT CAVES
9,981609047,JLN 9 TMN BT CAVES
9,981609048,JLN 10 TMN BT CAVES
9,981609051,JLN 13 TMN BT CAVES
9,981609052,JLN 14 TMN BT CAVES
9,981609053,JLN 15 TMN BT CAVES
9,981609058,BLOK DELIMA DESA PUTRA
10,981610001,PEKAN BATU CAVES
10,981610002,KG MELAYU BATU CAVES
10,981610003,MEDAN BATU CAVES
10,981610004,APT SRI GOTONG
10,981610005,TMN SERI BT CAVES
10,981610006,BLK A - D TMN SERI BT CAVES
10,981610008,JLN 1 KG MELAYU
10,981610011,JLN 7 KG MELAYU
10,981610012,JLN 9 KG MELAYU
10,981610013,JLN 16 KG MELAYU
10,981610014,JLN 18 KG MELAYU
10,981610015,JLN MEDAN BT CAVES 1
10,981610016,JLN MEDAN BT CAVES 2
10,981610017,JLN MEDAN BT CAVES 3
10,981610401,91 DEPOT BEKALAN PUSAT
10,981610801,PEMILIH TAK HADIR
11,981611001,BT 71/2 JALAN KERETAPI
11,981611002,BT 71/2 JALAN RAWANG
11,981611003,BT 7 BT CAVES
11,981611004,BT 8 BT CAVES
11,981611005,JLN PERUSAHAAN/BT CAVES LIGHT INDUSTRIES
11,981611006,TMN SPRING
11,981611007,TMN DESA BT CAVES
12,981612001,BT 7 JLN SG TUA
12,981612002,BT 8 JLN SG TUA
12,981612003,BT 9 JLN SG TUA
12,981612004,JLN SRI SELAYANGT 1-4 TMN SRI SELAYANG
12,981612005,KRTS JKR
12,981612006,TAMAN SRI SELAYANG
12,981612007,JLN SRI SELAYANG
12,981612008,JLN SRI SELAYANG 1
12,981612009,JLN SRI SELAYANG 2
12,981612011,JLN SRI SELAYANG 4
12,981612801,PEMILIH TAK HADIR
13,981701001,PINGGIRAN BATU CAVES
13,981701002,TMN PINGGIRAN BT CAVES
13,981701003,JLN PINGGIRAN 1/1 - 8
13,981701004,JLN PINGGIRAN 2/1 - 11
13,981701005,JLN PINGGIRAN 3/1 - 16
13,981701006,BLK A - J PINGGIRAN BT CAVES
13,981701007,BLK K - Y PINGGIRAN BT CAVES
13,981701008,TMN GEMILANG
13,981701009,TMN PINGGIRAN INDAH
13,981701010,TMN DESA PINGGIRAN
13,981701011,KG MELAYU SERI GOMBAK
13,981701012,P/PURI CEMPAKA
13,981701013,P/PURI ANGGERIK
13,981701014,P/PURI DESA TEMENGGUNG
13,981701015,P/PURI SIANTAN
13,981701016,P/PURI BERINGIN
13,981701017,JLN PINGGIRAN 1/1
13,981701018,JLN PINGGIRAN 1/2
13,981701019,JLN PINGGIRAN 1/3
13,981701020,JLN PINGGIRAN 1/4
13,981701022,JLN PINGGIRAN 1/6
13,981701023,JLN PINGGIRAN 1/7
13,981701025,JLN PINGGIRAN 2/1
13,981701026,JLN PINGGIRAN 2/2
13,981701027,JLN PINGGIRAN 2/3
13,981701028,JLN PINGGIRAN 2/4
13,981701029,JLN PINGGIRAN 2/5
13,981701031,JLN PINGGIRAN 2/7
13,981701032,JLN PINGGIRAN 2/8
13,981701033,JLN PINGGIRAN 2/9
13,981701035,JLN PINGGIRAN 2/11
13,981701036,JLN PINGGIRAN 3/1
13,981701037,JLN PINGGIRAN 3/2
13,981701038,JLN PINGGIRAN 3/3
13,981701039,JLN PINGGIRAN 3/3 A
13,981701040,JLN PINGGIRAN 3/4
13,981701041,JLN PINGGIRAN 3/5
13,981701043,JLN PINGGIRAN 3/7
13,981701044,JLN PINGGIRAN 3/9
13,981701045,JLN PINGGIRAN 3/10
13,981701046,JLN PINGGIRAN 3/11
13,981701047,JLN PINGGIRAN 3/16
13,981701048,BLOK A PINGGIRAN BT CAVES
13,981701049,BLOK B PINGGIRAN BT CAVES
13,981701050,BLOK C PINGGIRAN BT CAVES
13,981701051,BLOK D PINGGIRAN BT CAVES
13,981701052,BLOK E PINGGIRAN BT CAVES
13,981701053,BLOK F PINGGIRAN BT CAVES
13,981701054,BLOK G PINGGIRAN BT CAVES
13,981701055,BLOK H PINGGIRAN BT CAVES
13,981701056,BLOK J PINGGIRAN BT CAVES
13,981701057,BLOK K PINGGIRAN BT CAVES
13,981701058,BLOK L PINGGIRAN BT CAVES
13,981701059,BLOK M PINGGIRAN BT CAVES
13,981701060,BLOK N PINGGIRAN BT CAVES
13,981701061,BLOK P PINGGIRAN BT CAVES
13,981701063,BLOK S PINGGIRAN BT CAVES
13,981701064,BLOK T PINGGIRAN BT CAVES
13,981701065,BLOK V PINGGIRAN BT CAVES
13,981701066,BLOK W PINGGIRAN BT CAVES
13,981701067,TMN PINGGIRAN PERMATA
13,981701801,PEMILIH TAK HADIR
14,981702001,JLN S/G 9/1 - 10
14,981702002,JLN S/G 9/11 - 20
14,981702003,JLN S/G 9/21 - 41
14,981702004,JLN PERMAI
14,981702005,APT GARDENIA COURT
14,981702006,KG MELAYU SRI MAKMUR
14,981702007,P/PURI WIRA PERMAI
14,981702008,JLN S/G 9/1
14,981702009,JLN S/G 9/2
14,981702011,JLN S/G 9/4
14,981702012,JLN S/G 9/5
14,981702013,JLN S/G 9/6
14,981702014,JLN S/G 9/7
14,981702015,JLN S/G 9/8
14,981702016,JLN S/G 9/9
14,981702017,JLN S/G 9/10
14,981702018,JLN S/G 9/11
14,981702020,JLN S/G 9/14
